cnpj,cgf,razaoSocial,regime,cadastro_dominio
23549213000172,64727254,M E NOBRE DE LIMA BRILHANTE ME,NORMAL,182
11192199000113,63913950,FABRICIO RODRIGUES ALVES,MICROEMPRESA,554
44222302000180,70290130,G M M NOGUEIRA COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO,MICROEMPRESA,796
43564705000144,71289640,JOSE NILSON MAIA JUNIOR,MICROEMPRESA,697
23549213000172,64727254,M E NOBRE DE LIMA BRILHANTE ME,NORMAL,182
11192199000113,63913950,FABRICIO RODRIGUES ALVES,MICROEMPRESA,554
60696867000155,72579390,2E ECOM COMERCIO DE ROUPAS LTDA,MICROEMPRESA,701
07373712000103,61802590,S N K COMERCIO DE ARTIGOS OPTICOS LTDA ME,MICROEMPRESA,255
22627192000101,64569748,BARAO VISION COMERCIO DE ARTIGOS OPTICOS LTDA ME,MICROEMPRESA,256
42639165000239,71238581,F M DA SILVA HOLANDA COMERCIO DE PRODUTOS FARMACEUTICOS - EP,NORMAL,218
22479806000147,64510816,AH DE FREITAS COSTA ME,MICROEMPRESA,5
11192199000113,63913950,FABRICIO RODRIGUES ALVES,MICROEMPRESA,554
07373712000103,61802590,S N K COMERCIO DE ARTIGOS OPTICOS LTDA ME,MICROEMPRESA,255
22627192000101,64569748,BARAO VISION COMERCIO DE ARTIGOS OPTICOS LTDA ME,MICROEMPRESA,256
42639165000239,71238581,F M DA SILVA HOLANDA COMERCIO DE PRODUTOS FARMACEUTICOS - EP,NORMAL,218
22479806000147,64510816,AH DE FREITAS COSTA ME,MICROEMPRESA,5
62387045000118,72803533,DI OTTICA INDUSTRIA E COMERCIO DE PRODUTOS OPTICOS LTDA,MICROEMPRESA,776
10863681000175,64123910,O C M MACHADO NETO LTDA,MICROEMPRESA,168
22627192000101,64569748,BARAO VISION COMERCIO DE ARTIGOS OPTICOS LTDA ME,MICROEMPRESA,256
42639165000239,71238581,F M DA SILVA HOLANDA COMERCIO DE PRODUTOS FARMACEUTICOS - EP,NORMAL,218
22479806000147,64510816,AH DE FREITAS COSTA ME,MICROEMPRESA,5
10863681000175,64123910,O C M MACHADO NETO LTDA,MICROEMPRESA,168
07302128000159,68381263,FARMACIA SAMPAIO LTDA,MICROEMPRESA,784
02174437000410,63053136,PLANETA FERROVIA COMÉRCIO DE PRODUTOS OPTICOS LTDA EPP,EPP,631
